abandon,"n.放纵；
tawdry,adj.俗丽的，花哨而庸俗的
taxing,adj.繁重的，费力的
tedious,adj.冗长乏味的
teeter,"vi.蹒跚，不稳定地行走；
vi.犹豫不决"
teetotalism,n.禁酒
telling,adj.有效的，显著的
temerity,n.鲁莽，冒失
temperate,"adj.（言行举止）有分寸的；
adj.有节制的"
tempestuous,adj.突然的，剧烈的
temporize,vi.行动躲躲闪闪以争取时间、躲避争论等
tenable,adj.有据可依的，无懈可击的
tenacious,"adj.顽固的，不屈不挠的；
adj.粘着的"
tendentious,adj.有偏见的
tender,"vt.正式提出；
adj.考虑周到的，关心同情的"
tenuous,adj.没有实际内容的，空洞的
tepid,adj.不太热心的
terminology,n.专业术语
terminus,n.终点，终点站
terror,n.极度恐惧
terse,adj.简洁的，简明的
testimony,n.证词，声明
testy,adj.易怒的，暴躁的
tether,"vt.（用绳、铁链）拴系，束缚；
n.能力或忍耐力的极限"
theatrical,adj.做作的，夸张的，矫揉造作的
therapeutic,adj.治疗的，有疗效的
thorny,"adj.多刺的；
adj.棘手的"
threadbare,"adj.陈腐的；
adj.贫穷的；
adj.破烂的"
throng,v./n.大量聚集
thwart,vt.阻挠
ticklish,"adj.易怒的；
adj.棘手的，对技巧要求高的"
tiff,n./v.小争吵
tightfisted,adj.吝啬的
timeworn,adj.陈腐的
timid,adj.胆小的，不自信的
timorous,adj.胆小的
tinge,vt.给…着上少量的色彩
tinker,v.乱修，乱调整
tint,v.涂浅色，微染
tirade,n.长篇抨击性演讲
toady,n./v.马屁精；拍马屁
tonic,adj.滋补的，有益健康的
topsy-turvy,adj.混乱的
torpid,"adj.麻木的，没有知觉的；
adj.迟钝的，行动迟缓的"
torpor,"n.缺乏兴趣；
n.（肉体或精神上的）迟钝，懒散"
torrential,adj.急流的
torrid,"adj.酷热的；
adj.热情的，情感深厚的"
tortuous,adj.转弯抹角的
tout,vt.极力赞扬
toy,vi.草率或不认真地对待
tractable,adj.易驾驭的，温顺的
tranquility,n.宁静，淡定
transcend,vt.超越，超过极限
transfigure,vt.使改变外观
transgress,vt.违背；犯错
transient,adj.短暂的，瞬时的
transitory,adj.短暂的
translucent,adj.透明的
transparent,"adj.透明的；
adj.没有歧义的，清晰易懂的"
travail,n./v.辛苦劳动
traverse,vt.横穿
travesty,n./v.拙劣的、嘲弄性模仿
treacherous,adj.背叛的
trenchant,"adj.锐利的；
adj.（言辞）一针见血的"
trepidation,n.恐惧，战栗
trespass,vi.非法侵入；违反，冒犯
tribute,n.称颂，颂词
trickle,vi.一滴一滴地流，缓缓地流
trite,adj.陈腐的，陈词滥调的
trivial,adj.琐碎的，无足轻重的
truant,adj./n./vi.逃避责任（的）；逃避责任者
truce,n.休战，休战协定
truculent,"adj.尖酸刻薄的；
adj.好战的，好斗的"
trudge,vi.吃力而笨拙地走
trumpet,v.大声说出或宣告
truncate,vt.截短；缩短（时间、篇幅等）
truss,v.系紧，扎紧
tumult,n.骚动，暴动
turbid,adj.混浊的
turbulent,"adj.动荡的；
adj.湍急的，汹涌的"
turgid,adj.浮夸的，过分装饰的
turmoil,n.骚动，混乱
turncoat,n.叛徒
turpitude,n.卑鄙
twig,v.了解
typo,n.打字错误
tyro,n.新手，业余爱好者
ubiquitous,adj.无所不在的，普通的
unassailable,adj.无可争辩的，无法否认的，不可亵渎的
uncanny,adj.离奇的，奇异的
uncouth,adj.粗俗的，没有品位的
unctuous,"adj.油嘴滑舌的，谄媚的；
adj.夸张的，做作的"
underdog,n.受害者，输家
undergird,vt.加强，巩固…的底部
undermine,vt.削弱，破坏
underscore,vt.强调
understate,vt.保守陈述
understudy,n.替补演员
unexceptionable,adj.无懈可击的
unflappable,adj.镇定的，从容不迫的
ungainly,adj.笨拙的，不雅的
unimpeachable,adj.无可置疑的
unkempt,adj.凌乱的，无序的
unlettered,adj.未受教育的，文盲的
unpretentious,"adj.低调的，谦逊的；
adj.坦诚的，自然的"
unproductive,adj.徒然的，无效的
unrequited,adj.无报答的，无报酬的
unruly,adj.难驾驭的，不守规矩的
untenable,adj.防守不住的，站不住脚的
untold,adj.数不清的，无数的
untoward,"adj.倒霉的，不吉利的；
adj.难以驯服的，难以驾驭的"
unwitting,"adj.不知道的，未觉察的；
adj.偶然的，并非有意的"
unwonted,adj.不习惯的，不寻常的
upbraid,vt.（严厉地）谴责，责骂
uphold,vt.支持，赞成
urbane,adj.彬彬有礼的，文雅的
usurp,vt.篡夺，篡位
utter,"vt.出（声），说（话）；
adj.完全的，绝对的"
vaccinate,v.预防接种疫苗
vacillate,"vi.犹豫不决；
vi.摇动，摇摆"
vacuous,adj.茫然的，愚蠢的
vagary,n.不可预测的思想或行为
vague,"adj.表达不清的；
adj.轮廓不清晰的"
valediction,"n.告别；
n.告别词"
valiant,adj.勇敢的，英勇的
valid,adj.逻辑上正确的
vanquish,vt.打败，征服
vapid,adj.无趣的，乏味的
vaporize,"vt.使（液体）蒸发；
vt.彻底消灭"
variance,n.不一致，不和谐
variegated,adj.杂色的，斑驳的
varnish,"vt.上清漆，使有光泽；
vt.粉饰（令人不悦的东西）"
vault,"vi.跳起，跳跃；
vi.一跃而至"
vaunt,vi.吹嘘
veer,v.（使）转向，（使）改变航线
vehement,adj.（情感）强烈的，热情的
venal,adj.贪污受贿的
vendor,n.小贩，商贩
veneer,"n.薄木板，用以贴在家具外面的饰面板；
vt.粉饰（不好的东西）"
venerate,vt.尊敬
venial,adj.可宽恕的
venom,"n.毒液；
n.恶意，恶毒的用心"
veracious,"adj.诚实的，说实话的；
adj.精确的，准确的"
verbatim,adv.逐字地，一字不差地
verbose,adj.冗长的，啰嗦的
verdant,adj.（因长满植物而）翠绿的，郁郁葱葱的
verify,vt.校验，证实
verisimilar,adj.似乎真实的
veritable,adj.真正的，确实的
vernacular,"n.方言；
adj.非正式的，口头的"
versatile,"adj.多才多艺的，全能的；
adj.易改变的"
verse,"vt.使精通，使熟悉；
n.诗歌"
vertigo,n.眩晕
verve,n.活力，热情
vessel,"n.管；
n.船，舰艇"
vestige,n.微小的遗迹，小痕迹
vestigial,adj.退化的，发育不全的
veteran,"n.老兵；有丰富经验的人；
adj.经验丰富的，资深的"
veto,n./vt.否决，禁止
vex,vt.使烦恼，使恼怒
viable,adj.可行的
vicarious,adj.代理的，取代的
vicious,"adj.凶恶的，恶毒的；
adj.猛烈的"
vicissitude,n.自然变化，变迁兴衰
victimize,vt.使受骗
vigilant,adj.警醒的，警惕的
vignette,n.简介，短文
vigorous,"adj.精力旺盛的；
adj.强健的"
vilify,vt.诽谤，辱骂
vim,n.活力，精力
vindicate,"vt.为…平反，为…辩护，使无罪；
vt.证明，证实"
vindictive,adj.复仇的，有寻仇倾向的
virtuoso,"n.艺术鉴赏家，专家；
adj.经验丰富的，技艺精湛的"
virtuous,adj.品德高尚的，正直的
virulent,"adj.有毒的；
adj.凶残的"
viscid,adj.有粘性的
viscous,adj.粘稠的，粘的
visionary,"adj.空想的，不切实际的；
adj.幻觉的；
adj.有远见的"
vitality,n.活力，生命力
vitiate,"v.削弱，损害；
v.（在道德、审美上）降低，堕落"
vitriolic,adj.（言辞）刻薄的
vituperate,vt.谩骂，责骂
vivacious,adj.活泼的，快活的
vociferous,adj.喧哗的，大叫大嚷的
volatile,adj.多变的
volition,n.意志，自愿选择的行为
voluble,adj.健谈的，话多的
voluminous,adj.卷数多的，大量的，庞大的
voluptuous,adj.奢侈逸乐的，沉溺酒色的
voracious,"adj.有很大食量的，贪吃的；
adj.贪婪的，如饥似渴的"
votary,n.崇拜者，信徒
vouch,v.担保，声称为真
vulgar,"adj.粗俗的，无教养的；
adj.口头的，非正式的"
vulnerable,adj.易受攻击的，脆弱的
waddle,vi.摇摇摆摆地走
waffle,vi.胡扯
waft,v.飘荡，漂浮
wag,"n.幽默诙谐的人；
v.摆动"
wan,adj.苍白的，病态的
wanderlust,n.旅行癖
wane,vi.减少，衰退，降低
want,"n.短缺；
vt.渴望"
warmonger,n.好战者
warp,"vt.使偏向；
vt.扭曲，变形；
vt.曲解"
warrant,"vt.向…保证质量；
vt.批准，认可"
wary,adj.小心的，机警的，谨慎的
wastrel,n.肆意挥霍的人，败家子
watershed,n.重要关头，分水岭
wax,"vi.月亮渐满；
vt.用蜡涂、处理或上光；
vi.增大，增强"
waylay,vt.埋伏，伏击
welter,n.混乱，动乱
wheedle,v.（用花言巧语）诱惑，哄骗
whet,vt.磨快
whiff,"n.微风；
n.细微的信号，轻微痕迹"
whimsical,adj.反复无常的
wholesome,adj.有益身心健康的
wicked,adj.邪恶的
wince,vi.畏缩
windbag,n.健谈的人
windy,adj.冗长的
winsome,adj.迷人的，漂亮的
wit,"n.机智，智慧；
n.智者，有智慧的人"
withdraw,v.撤退
wither,vi.枯萎，凋谢
withhold,vt.抑制；扣压，不给予
wizen,"v.（使）凋谢，（使）枯萎；
adj.凋谢的，枯萎的"
wobble,"vi.摇晃，颤抖；
vi.犹豫不决"
worldly,"adj.世间的，世俗的；
adj.老练的"
worship,"n.崇拜，敬仰；
v.崇拜，膜拜"
wrangle,"n.纷争，争端；
vi.争吵"
wretched,"adj.极差的；
adj.沮丧的"
wry,"adj.扭曲的；
adj.坚持错误的"
xenophobe,n.仇视（或畏惧）外国人（或外国事物）者
yoke,v.连接
yokel,n.乡下人，天真纯朴的人
zeal,n.热心，热诚
zealot,n.狂热者，极端主义者
zenith,n.最高点，巅峰
zesty,adj.刺激的，开胃的
abreast,"adv.并排地；
adj.熟知的"
absent,"adj.未出现的，缺乏的；
adj.不专心的，走神的"
acclaim,"n.称赞；
vt.赞扬，赞颂"
accomplish,vt.完成，实现
accord,"n.一致；
vi.相符合，相一致；
vt.授予，给予"
acknowledge,vt.承认
acquire,vt.获取，获得
acquisitive,adj.贪婪的
adjudicate,v.裁决，判定
adversity,n.厄运，逆境
affectation,n.虚伪，做作
affirm,vt.声称…为真，肯定…属实
affix,vt.粘合
affliction,n.痛苦，悲伤，折磨
agape,adj.急切盼望的
agility,n.（身手）敏捷
agonize,"vt.折磨，使痛苦；
vi.感到痛苦"
agreeable,"adj.令人愉悦的；
adj.随和的；
adj.相一致的"
alienate,"vt.使…疏远；
vt.转让，让渡"
alloy,"n.合金；混合物；
vt.掺杂，降低…的纯度"
ambivalent,adj.（尤指感情、态度）矛盾的
anachronistic,adj.时代错误的
analogous,adj.相似的，可比较的
annex,"vt.添加，合并；
vt.吞并，夺取（土地等）"
annotate,vt.给…作注解
antedate,vt.比…早，早于
antipathy,"n.厌恶，反感；
n.令人反感的事物"
antiquated,adj.古老的，过时的
antithetical,adj.完全对立的，相反的
apparition,n.鬼魂，幽灵
applicable,"adj.可用的，可行的；
adj.相关的，有关的；
adj.合适的，恰当的"
apprehensive,"adj.知晓的，理解的；
adj.恐惧的，害怕的"
arable,adj.适合耕种的
arbitrary,"adj.专横的，独断专行的；
adj.独裁的，拥有无限权力的；
adj.缺乏计划的，随意的"
arcane,"adj.（语言）晦涩的，隐晦的；
adj.深奥的，难以理解的"
argument,"n.争吵，争论；
n.（逻辑上的）论证；
n.观点，论点"
arid,"adj.干燥的；
adj.无趣的，无聊的"
array,"n.排列，阵列；
vt.排列，摆放；
vt.装饰，装修"
assail,"vt.抨击，严厉批评；
vt.攻击，猛攻"
asymmetry,n.不对称，不平衡
atrophy,vi.萎缩，衰退
attest,vt.证实，为…作证
attune,vt.使协调，使和谐
august,"adj.威严的，庄重的；
adj.盛大的，令人印象深刻的"
auspicious,adj.好兆头的
austere,"adj.朴素的，朴实无华的；
adj.严肃的，令人生畏的"
automatic,"adj.（机器等）自动的；
adj.自发的，情不自禁的"
avowal,n.承认，公开宣布
backfire,vi.产生相反的结果，事与愿违
backslide,vi.（情况等）倒退，变坏
baffle,"vt.挫败，阻挠；
vt.使疑惑"
baffling,adj.令人疑惑的，难以理解的
bash,"n.猛击；
vt.攻击，用力击打；
vt.抨击，严厉批评"
bask,vi.休息，悠然自得
beholden,adj.欠他人人情的
behoove,vt.对…有利
beige,adj.缺乏特征的
belligerence,n.好斗，好战
belligerent,adj.好斗的，好战的
beset,"vt.使苦恼，骚扰；
vt.攻击，袭击"
bewitching,adj.迷人的，令人着迷的
blackmail,n./vt.敲诈，勒索
bluff,"adj.直率的，（说话）直截了当的；
vt.欺骗"
bogus,"adj.伪造的，假冒的；
adj.虚伪的，做作的"
bore,"n.令人厌烦的人或事物；
vt.使厌倦，使厌烦"
brandish,vt.（带有威胁性地）挥舞
brim,"n.边缘，边界；
vi.充满；
vt.加满，倒满"
bumble,"vi.含糊不清地说，杂乱无章地说；
vi.笨拙地行动"
bustle,"n.忙乱，喧闹；
vi.（快速地）行走，奔忙"
cachet,n.威望，声望
calamity,n.大灾难
calculated,adj.经过计算（成败得失）的，经过深思熟虑的
calibrate,vt.校准，调校
canny,adj.精明的，聪明的
canonize,"vt.过分宠爱，过分崇拜；
vt.使崇高，使神圣"
captious,adj.吹毛求疵的，爱挑毛病的
careen,"vi.蹒跚而行，不稳地行走；
vi.狂奔，快速运动"
carefree,adj.无忧无虑的
cascade,n.（尤指小的）瀑布
cellular,adj.多孔的
ceremonious,adj.讲究礼节的，庄重的
certitude,n.确信无疑
channel,"n.水渠；
n.海峡；
vt.将…导向，投入"
chaperone,vt.同行，护送
charisma,n.魅力，吸引力
cherished,adj.受喜爱的，珍爱的
chivalrous,adj.有骑士风度的，（尤指对女性）彬彬有礼的
chorale,"n.赞美诗；
n.合唱班，合唱团"
clamor,n.喧闹，喧哗，噪声
clan,n.（有共同爱好的）团体，帮派
cleave,"vi.紧贴，坚持；
vt.分隔，割裂，劈开"
cling,"n.粘结，粘合；
vi.紧贴；支持"
coarse,"adj.粗糙的，表面不平整的；
adj.（声音）刺耳的，粗声粗气的；
adj.粗俗的；
adj.（质量）低劣的"
cohesive,adj.有粘性的；有凝聚力的
collaborate,vi.合作
commiserate,vi.表示怜悯，同情
compatible,adj.一致的，能共存的
compelling,"adj.极具说服力的；
adj.迫切的，紧迫的"
complacent,"adj.自满的，自鸣得意的；
adj.无所谓的，不关心的"
complementary,adj.互补的
complicate,vt.使复杂化
comprehend,"vt.理解，了解；
vt.包括，包含"
concrete,"adj.实体的，实在的；
adj.事实性的，明确的"
condemn,vt.谴责（…为不道德的、邪恶的）
conditional,adj.有条件的，受制约的
conflagration,"n.大火；
n.武装冲突，战争"
conflate,vt.混合
conform,"vt.使协调；
vt.调整（以适应）；
vi.遵照，遵从"
conjure,"vt.请求，恳求；
vt.在脑海中浮现，想起"
consent,"n.同意，赞同；
vi.同意"
consign,vt.转交，转移（给他人）
consternation,n.惊愕，恐慌，恐惧
constrict,vt.压缩，压紧
contemplate,v.沉思，仔细思索
contempt,n.蔑视，鄙视
contend,"vi.竞争，争夺；
vt.声明，声称"
contradict,vt.否认，反驳；与…相矛盾
contrived,adj.不自然的，刻意的
convene,"vt.召开，召集；
vi.聚集，集合"
correlate,vt.使…相关联
counterpart,n.（地位、功能）对等的人或物
counterproductive,adj.反效果的，阻碍预期目标的
courteous,adj.礼貌的，谦恭有礼的
coy,"adj.故作羞涩的；
adj.不愿与人交往的，内向的"
credible,adj.可信的，值得信赖的
credit,"n.信任，信赖；
n.表扬，赞扬"
crow,"vi.感到高兴；
vi.自鸣得意"
damn,"vt.（在道德上）谴责；
adv.非常地，极其地"
dampen,"vt.（特指稍稍地）弄湿；
vt.抑制，压抑（感情、精力等），泼冷水"
dashing,adj.爱好冒险的，大胆的
dated,adj.过时的
deadlock,"n.僵局；
vt.使陷入僵局，使停顿"
debonair,"adj.无忧无虑的，不在乎的；
adj.风度翩翩的"
decadent,"adj.堕落的，腐败的；
n.放纵的人；
n.道德上堕落的人"
decry,vt.强烈反对，否定
deflect,vt.使偏斜，使转向
defray,vt.支付
deign,vi.（不情愿地）屈尊，俯就
delegate,"n.代理人，代表；
vt.移交（权力、任务等）"
delineate,"vt.勾勒，用线条描绘；
vt.描写，描绘"
demote,vt.降职，降级
dependable,adj.可靠的，值得信赖的
deplorable,"adj.可鄙的，可耻的；
adj.悲惨的，可悲的"
desperate,adj.绝望的
dichotomy,n.一分为二，分割
dictate,"n.指令，命令；
vt.（仗着地位、权力）下令"
dike,"n.堤坝，水坝；
n.水沟，水渠"
discreet,"adj.（言行）谨慎的；
adj.不易察觉的"
disenchant,vt.使清醒
dishearten,vt.使沮丧，使失去信心
disjunctive,adj.分离的
disprove,vt.反驳，证明为假
distinctive,"adj.完全不同的；
adj.特征性的，典型的"
doctrinaire,adj.教条主义的，照本宣科的
domineer,vt.专制统治
drab,adj.单调的，无聊的
dramatic,adj.显著的，惹人注意的
dread,n.恐惧
duplicate,"n.复制品；
vt.复制；
vt.重复，反复"
dynamic,adj.有力量的，有活力的
eclectic,adj.混合的，多元化的
efficacious,adj.有效的
elude,"vt.躲闪，躲避；
vt.使无法理解，使困惑"
enamored,adj.迷恋的，热爱的
endeavor,"n.努力，奋斗；
vt.努力做，拼搏"
enthrall,vt.（像用魔咒般）吸引
equilibrium,"n.均势，平衡；
n.（感情上的）平静"
erroneous,adj.错误的，不正确的
escort,"n.护卫队，护送者；
vt.同行，护送"
ethos,n.道德准则
exorcise,vt.除去
explicate,vt.解释，说明
exterminate,vt.根除，消灭
extrapolate,vt.（通过逻辑）推断
fabulous,"adj.传说中的；
adj.幻想中的，不真实的；
adj.令人惊讶的，令人称奇的；
adj.极好的"
fad,n.（短暂的）流行，时尚
fallible,adj.可能出错的
fanciful,"adj.幻想中的，不真实的；
adj.不切实际的，荒谬的"
favoritism,n.偏爱，偏袒
featureless,adj.缺乏特征的
feisty,adj.好斗的，好争论的
felony,n.重罪
ferocious,"adj.极端的，剧烈的；
adj.激烈的，爆发性的；
adj.凶猛的，残暴的"
fervent,adj.充满感情的，热情洋溢的
figment,n.虚构的事物，幻觉
fitful,adj.无规律的，缺乏周期的
fleeting,adj.稍纵即逝的，短暂的
forage,vi.寻找
forebode,v.预示，预兆
foreground,vt.强调，重视
forfeit,n.罚金
forsake,vt.彻底放弃，抛弃
frosty,"adj.寒冷的；
adj.无强烈感情的，冷淡的"
gawky,adj.（举止）笨拙的
germinate,"vi.发芽；
vi.出现"
glacial,"adj.极冷的；
adj.冷漠的，无感情的"
glide,v.轻松地行动，轻松地通过
glower,vi.怒目而视
graft,vt.移植，移接
grit,n.（面对困难时所表现出来的）毅力
groggy,"adj.虚弱的，（走路）不稳的；
adj.无法思考的，头脑不清的"
grudge,n.怨恨，仇恨
grumble,vi.（尤指低声地）抱怨，埋怨
halfhearted,adj.不感兴趣的，不热情的
heckle,vt.起哄，使难堪
hierarchical,adj.分等级的，等级制的
hobble,"vi.跛行，蹒跚而行；
vt.阻碍，妨碍"
humdrum,"n.千篇一律，单调；
adj.无聊的，乏味的"
humiliate,vt.羞辱，使丧失尊严
hypothetical,"n.假设，前提条件；
adj.假定的"
idiosyncrasy,n.独特而奇怪的习惯
idle,"adj.闲置的，未使用的；
adj.懒散的；
v.懒散度日，无所事事"
ill-bred,adj.没有教养的，没有礼貌的
illustrious,adj.著名的，杰出的
imperishable,"adj.不能被摧毁的；
adj.不朽的，永恒的"
implicit,"adj.不言而喻的，心照不宣的；
adj.无疑问的，无保留的"
impostor,n.冒名顶替者，骗子
impunity,n.免责，免受处罚
incentive,n.刺激，诱因
incumbent,adj.义不容辞的，必须的
indecorous,adj.不合乎礼节的，不得体的
infraction,n.违背，违犯
justify,vt.证明…的合理性，为…辩解
lag,"adj.最终的，最后的；
vi.缓慢行走；
vi.萎靡，失去活力"
lance,"n.长矛，标枪；
vt.刺穿，刺破"
lax,"adj.松弛的，不紧的，不严格的；
adj.懈怠的，漫不经心的"
license,"n.许可，认可；
n.自由；
n.放荡；
vt.准许，授权使用"
lionize,vt.追捧，把…捧为名人
ludicrous,adj.荒唐的，可笑的
luminous,"adj.发光的，有光泽的；
adj.杰出的，重要的"
lurid,"adj.恐怖的，令人反感的；
adj.面色苍白的，病态的"
machination,n.诡计
madcap,"n.热爱冒险的人；
adj.大胆的，鲁莽的"
magnitude,"n.重要，重大；
n.巨大"
malevolent,adj.恶意的，恶毒的
malignant,adj.恶毒的，邪恶的
maneuver,vt.巧妙地操纵
marginal,"adj.边缘的；
adj.不重要的"
meditate,vt.思索，沉思
menial,"n.仆人，奴仆；
adj.卑贱的，低下的"
meretricious,adj.艳俗的，俗气的
milieu,n.环境，氛围
military,adj.军事的，军用的
misapprehension,n.错误的理解、判断
monarch,"n.君主，帝王；
n.巨头，大亨"
monopolize,vt.垄断，主宰
nirvana,"n.彻底放松的状态；
n.天堂，极乐世界"
nostalgia,"n.思乡之情；
n.怀旧，怀念"
notoriety,"n.（尤指因为丑闻而出名的）名人；
n.坏名声"
nourish,"vt.养育，抚养；
vt.培养，促进"
novice,n.新手，初学者
nullification,n.（尤指法律条文等正式的）废除，废弃
numb,"adj.失去感觉的；
adj.麻木的，无感情的"
oaf,n.愚蠢的人
observant,"adj.警惕的，警觉的；
adj.严格遵守（规章、制度或原则）的"
obsolete,adj.过时的，被淘汰的
onset,"n.攻击，进攻；
n.起始，开始"
ordeal,n.严峻的考验
ostensible,adj.表面上的，佯装的
outgrowth,n.结果，后果
outmoded,adj.过时的，废弃的
override,vt.不顾
overshadow,"vt.使变黯淡；
vt.（在重要性上）超越，超过"
overwhelm,"vt.淹没；
vt.（感情上、精神上）使无所适从，使难以承受"
overwrought,"adj.十分激动的，非常不安的；
adj.（装饰、文风等）过分华丽的"
palaver,"n.对话，交流；
vi.闲聊"
palpitation,n.（有节奏的）舒张收缩
panacea,n.万能药，万灵药
peculiarity,n.特征，特点
pedagogical,adj.教学的；教师的
peel,"vt.剥去…的皮；
vi.脱去（衣服等）"
perceptive,"adj.敏锐的；
adj.洞察力强的"
perilous,adj.危险的
perquisite,n.额外的好处
petulant,adj.易怒的，爱发脾气的
pioneer,"n.扩荒者，先驱者；
adj.最初的，最早的；
vt.开创，创造"
pious,"adj.（信仰上）虔诚的；
adj.忠诚的"
pitfall,"n.陷阱；
n.（不易察觉的）危害"
pivotal,adj.最关键的，最为重要的
placid,"adj.宁静的，风平浪静的；
adj.冷静的，淡定的"
playful,adj.爱开玩笑的，好打闹的
plebeian,adj.平民的，社会下层的
plentitude,"n.丰富，充沛；
n.大量"
plodder,n.行走缓慢的人
plush,"adj.（味道等）浓郁的；
adj.奢华的，豪华的"
poach,vt.水煮
pointer,"n.（仪表上的）指针；
n.忠告，建议"
pragmatic,adj.实用主义的，务实的
premeditate,vt.预谋
prerequisite,n.先决条件，前提
prerogative,n.特权，权力
proclaim,vt.宣告，使…公之于众
project,"n.方案，计划；
vi.凸出；
vt.预测，预计"
proprietary,"n.所有权；
adj.私营的"
prototype,n.原型
rampant,"adj.（植物）生长茂盛的；
adj.猖獗的，不受限制的"
ravenous,adj.食量大的，贪食的；贪婪的
redeem,"vt.实践，履行（诺言等）；
vt.改过自新"
refreshing,adj.令人身心振奋的，提神的
remnant,n.残余，剩余物
renege,vt.放弃，摒弃
replenish,vt.补充
replicate,"vt.复制，复刻；
vt.重复，反复"
residual,adj.剩余的，残存的
restitution,n.补偿，赔偿
resurrect,vt.使重生，使复苏
retentive,adj.记性好的
retrieve,vt.寻回，找回
reverberate,vi.回荡，回响
rhetorical,"adj.语言上的，文字上的；
adj.言辞华丽（却往往无内涵）的"
rigmarole,n.混乱而无意义的话
ruthless,adj.没有怜悯心的，残忍的
sacrosanct,adj.极为神圣的，不可侵犯的
scourge,n.祸害
screen,"n.掩护物，屏障；
vt.保护，使…免受攻击；
vt.掩护，遮蔽"
scrimp,vi.节俭
scruple,n.（良心上的）不安
secede,vi.脱离，退出（组织、团体、联盟等）
sectarianism,n.宗派主义，顽固
secular,adj.世俗的，尘世的
sequel,n.结果
shift,"vt.改变…的位置；
vi.改变，变化；
vt.交换"
shifty,adj.（显得）狡诈的，（显得）欺诈的
simile,n.明喻
skittish,"adj.容易受到惊吓的，胆小的；
adj.容易激动的；
adj.善变的，多变的"
sparing,"adj.节俭的，节约的；
adj.不足的，缺乏的"
splinter,"n.尖细条，刺；
vt.将…切成细条"
splutter,vi.急切而不清楚地说
squeamish,adj.恶心的，晕船的
stasis,n.平衡，停滞
staunch,adj.忠诚的，坚定的
stereotype,n.成见，老套的理念
stigmatize,vt.使蒙上污名
substitute,"n.取代者，替代品；
vt.取代，替代"
succumb,"vi.屈服；
vi.死亡"
supersede,vt.取代，替代
surly,adj.脾气不好的
surmise,"n.（根据不足的）推测，揣测；
vt.推测"
surmount,vt.战胜，获得胜利
surpass,"vt.超越，强于；
vt.突破（界限、记录等）"
surrogate,n.替代品
surveillance,n.监视，监控
tame,"adj.被驯化的；
adj.无聊的，乏味的；
vt.控制，抑制"
tangle,"n.困惑，不解；
vt.纠缠，使…纠结"
teeming,adj.大量的
temporal,adj.世俗的，尘世的
tentative,adj.暂时性的，尝试的
thick-skinned,adj.冷漠无情的，不顾及他人感受的
thrill,"n.强烈的兴奋感，快感；
vt.使兴奋，使激动"
timely,"adj.及时的，无拖延的；
adj.恰到好处的，合乎时宜的"
topsy-turvy,adj.混乱的，不整洁的
trifle,"n.不重要的事；
vi.不正经地对待，玩弄"
trifling,adj.细微的，不重要的
tycoon,n.大亨，巨头
tyrant,n.暴君
umbrage,n.不悦，生气
unanimous,adj.一致同意的
unavailing,adj.徒劳的，无果的
unremitting,adj.连续不断的
versed,"adj.熟知的；
adj.精通的"
vile,"adj.丑陋的；
adj.（道德上）可鄙的，卑鄙的"
vocation,n.职业
vouchsafe,vt.允诺，给予
voyeur,n.窥淫狂
wanting,"adj.未出现的，缺少的；
adj.未达到要求的"
wayward,adj.刚愎自用的，不服管束的
weather,vt.安全度过（危机等），经受住
willful,"adj.固执的，倔强的；
adj.故意的"
willy-nilly,"adv.不论是否愿意地；
adj.无秩序的，随意的"
wilt,"vi.（花、植物等）萎蔫；
vi.精神萎靡，憔悴"
wily,adj.狡诈的，狡猾的
wiretap,n./vt.偷听，窃听
wistful,adj.（带着忧伤而）渴望的，怀念的
wrest,"vt.拧，扭动；
vt.辛苦地获得"
wrongheaded,adj.固执己见的，坚持（错误观点）的